medicine_id,brand_name,generic_name,active_ingredient,strength,dosage_form,pack_size,manufacturer,price,price_effective_date,registration_number,drap_source_url,last_verified,data_status,medicine_category
MED036,Zithrosan,Azithromycin,Azithromycin,250mg,Capsule,10's,Sante (Private) Limited DML: 000702,582.11,"27 Jul, 2026",27079,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED037,Zolecta,Azithromycin,Azithromycin,250mg,Capsule,10's,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,533.88,"20 Aug, 2026",55700,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED038,Azilla-250,Azithromycin,Azithromycin,250mg,Capsule,1 x 10's,"Genome Pharmaceuticals (Pvt.) Ltd, DML: 000454",508.6,"27 Jul, 2026",46176,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED039,Azeloc,Azithromycin,Azithromycin,250mg,Capsule,1 x 10's,Evolution Pharmaceuticals (Pvt.) Ltd. DML: 000867,478.82,"29 Jul, 2026",87682,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED040,Azeloc,Azithromycin,Azithromycin,250mg,Capsule,6's,Evolution Pharmaceuticals (Pvt.) Ltd. DML: 000867,305.19,"29 Jul, 2026",87682,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED041,Azeloc,Azithromycin,Azithromycin,250mg,Tablet,1 x 10's,Evolution Pharmaceuticals (Pvt.) Ltd. DML: 000867,456.9,"29 Jul, 2026",95366,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED042,Azeloc,Azithromycin,Azithromycin,250mg,Tablet,1 x 6's,Evolution Pharmaceuticals (Pvt.) Ltd. DML: 000867,291.22,"29 Jul, 2026",95366,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED043,Lazio,Azithromycin,Azithromycin,250mg,Capsule,1 x 10's,The Schazoo Pharmaceutical Laboratories (Pvt.) Ltd. DML: 000019,508.6,"23 Jul, 2026",65825,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED044,Lazio,Azithromycin,Azithromycin,250mg,Capsule,1 x 6,The Schazoo Pharmaceutical Laboratories (Pvt.) Ltd. DML: 000019,305.16,"23 Jul, 2026",65825,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED045,Zetro,Azithromycin,Azithromycin,250mg,Capsule,10's,Getz Pharma (Pvt.) Ltd. DML: 000933,533.95,"27 Jul, 2026",45375,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED046,Zetro,Azithromycin,Azithromycin,250mg,Capsule,6's,Getz Pharma (Pvt.) Ltd. DML: 000933,320.36,"27 Jul, 2026",45375,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED047,Zetro,Azithromycin,Azithromycin,250mg,Tablet,6's,Getz Pharma (Pvt) Limited DML: 000284,225.1,"27 Jul, 2026",66913,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED048,Zithrosan,Azithromycin,Azithromycin,500mg,Capsule,6's,Sante (Private) Limited DML: 000702,575.81,"27 Jul, 2026",37032,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED049,Zithrosan,Azithromycin,Azithromycin,500mg,Tablet,6's,Sante (Private) Limited DML: 000702,599.24,"27 Jul, 2026",83766,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED050,Zolecta,Azithromycin,Azithromycin,500mg,Capsule,3's,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,261.7,"20 Aug, 2026",55701,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED051,Zolecta,Azithromycin,Azithromycin,500mg,Tablet,6's,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,545.09,"20 Aug, 2026",92812,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED052,Zithrosan,Azithromycin,Azithromycin,500mg,Capsule,6's,Sante (Private) Limited DML: 000702,575.81,"27 Jul, 2026",37032,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED053,Zithrosan,Azithromycin,Azithromycin,500mg,Tablet,6's,Sante (Private) Limited DML: 000702,599.24,"27 Jul, 2026",83766,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED054,Zolecta,Azithromycin,Azithromycin,500mg,Capsule,3's,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,261.7,"20 Aug, 2026",55701,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED055,Zolecta,Azithromycin,Azithromycin,500mg,Tablet,6's,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,545.09,"20 Aug, 2026",92812,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED056,Azilla-500,Azithromycin,Azithromycin,500mg,Capsule,1 x 3's,"Genome Pharmaceuticals (Pvt.) Ltd, DML: 000454",249.31,"27 Jul, 2026",74557,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED057,Azeloc,Azithromycin,Azithromycin,500mg,Tablet,1 x 6's,Evolution Pharmaceuticals (Pvt.) Ltd. DML: 000867,533.91,"29 Jul, 2026",95367,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED058,Zetro,Azithromycin,Azithromycin,500mg,Tablet,1x3's,Getz Pharma (Pvt.) Ltd. DML: 000933,286.86,"27 Jul, 2026",53120,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED059,Zetro,Azithromycin,Azithromycin,500mg,Tablet,6's,Getz Pharma (Pvt.) Ltd. DML: 000933,575.83,"27 Jul, 2026",53120,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED060,Omixim,Cefixime,Cefixime,100mg,Suspension,30ml,The Searle Company Limited DML: 000647,330.38,"23 Jul, 2026",62443,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED061,Omixim,Cefixime,Cefixime,100mg,Suspension,30ml,The Searle Company Limited DML: 000647,330.38,"23 Jul, 2026",62443,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED062,Stork,Cefixime,Cefixime,100mg/5ml,Suspension,30ml,UniMark Pharmaceuticals Pvt. Ltd. DML: 000557,330.39,"20 Aug, 2026",121416,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED063,Stork,Cefixime,Cefixime,100mg/5ml,Suspension,30ml,UniMark Pharmaceuticals Pvt. Ltd. DML: 000557,330.39,"20 Aug, 2026",121416,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED064,Cefiget,Cefixime,Cefixime,100mg/5ml,Suspension,30ml,Getz Pharma (Pvt.) Ltd. DML: 000933,330.38,"27 Jul, 2026",45119,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED065,Cefiget,Cefixime,Cefixime,100mg/5ml,Suspension,60ml,Getz Pharma (Pvt.) Ltd. DML: 000933,647.54,"27 Jul, 2026",45119,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED066,Omixim,Cefixime,Cefixime,200mg,Capsule,10's,The Searle Company Limited DML: 000647,646.45,"23 Jul, 2026",62442,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED067,Omixim,Cefixime,Cefixime,200mg,Capsule,10's,The Searle Company Limited DML: 000647,646.45,"23 Jul, 2026",62442,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED068,Cefiget,Cefixime,Cefixime,200mg,Tablet,10's,Getz Pharma (Pvt.) Ltd. DML: 000933,648.51,"27 Jul, 2026",55746,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED069,Cefiget,Cefixime,Cefixime,200mg,Tablet,5's,Getz Pharma (Pvt.) Ltd. DML: 000933,340.78,"27 Jul, 2026",55746,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED070,Cefiget DS,Cefixime,Cefixime,200mg/5ml,Suspension,30ml,Getz Pharma (Pvt.) Ltd. DML: 000933,404.32,"27 Jul, 2026",45120,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED071,Omixim,Cefixime,Cefixime,400mg,Capsule,5's,The Searle Company Limited DML: 000647,592.03,"23 Jul, 2026",62441,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED072,Omixim,Cefixime,Cefixime,400mg,Capsule,5's,The Searle Company Limited DML: 000647,592.03,"23 Jul, 2026",62441,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED073,Cefiget,Cefixime,Cefixime,400mg,Capsule,5’s,Getz Pharma (Pvt.) Ltd. DML: 000933,592.02,"27 Jul, 2026",45118,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED074,Fastimax Injection,Cefotaxime,Cefotaxime,500mg,Injection,Vial,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,170.62,"20 Aug, 2026",44316,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED075,Tefno Injection,Ceftriaxone,Ceftriaxone,1g,Injection,1's,The Searle Company Limited DML: 000647,662.97,"23 Jul, 2026",90325,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED076,Tefno Injection,Ceftriaxone,Ceftriaxone,1g,Injection,1's,The Searle Company Limited DML: 000647,662.97,"23 Jul, 2026",62438,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED077,Tefno Injection,Ceftriaxone,Ceftriaxone,1g,Injection,1's,The Searle Company Limited DML: 000647,662.97,"23 Jul, 2026",90325,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED078,Tefno Injection,Ceftriaxone,Ceftriaxone,1g,Injection,1's,The Searle Company Limited DML: 000647,662.97,"23 Jul, 2026",62438,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED079,Uneek Injection Ceftriaxone Sodium,Ceftriaxone,Ceftriaxone,1g,Injection,1,NAVEGAL LABORATORIES DML: 000591,592.75,"30 Jul, 2026",45441,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED080,Titan Inj. IM IV Ceftriaxone,Ceftriaxone,Ceftriaxone,1g,Injection,1's,Macter International Limited DML: 000141,598.94,"23 Jul, 2026",21743,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED081,Novosef IM Inj. Ceftriaxone Sodium,Ceftriaxone,Ceftriaxone,1g,Injection,1 Vial,Himont Pharmaceuticals (Pvt.) Ltd. DML: 000231,894.22,"27 Jul, 2026",19157,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED082,Novosef IV Inj. Ceftriaxone Sodium,Ceftriaxone,Ceftriaxone,1g,Injection,1 Vial,Himont Pharmaceuticals (Pvt.) Ltd. DML: 000231,894.22,"27 Jul, 2026",19156,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED083,Cefinig,Ceftriaxone,Ceftriaxone,1g,Injection,1 Vial,HONIG PHARMACEUTICALS LABORATORIES DML: 000550,547.65,"01 Jul, 2024",50761,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED084,Traxon Injection,Ceftriaxone,Ceftriaxone,1g,Injection,1's,GlaxoSmithKline Pakistan Limited DML: 000248,556.8,"23 Jul, 2026",89166,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED085,Traxon Injection,Ceftriaxone,Ceftriaxone,1g,Injection,1's,GlaxoSmithKline Pakistan Limited DML: 000248,531.19,"23 Jul, 2026",17889,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED086,Fortexone Injection,Ceftriaxone,Ceftriaxone,1g,Injection,1's,Lucky Core Industries Limited DML: 000363,738.05,"22 Jul, 2026",26161,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED087,Fortexone Injection,Ceftriaxone,Ceftriaxone,1g,Injection,1's,Lucky Core Industries Limited DML: 000363,661.77,"22 Jul, 2026",20274,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED088,Tefno Injection,Ceftriaxone,Ceftriaxone,250mg,Injection,1's,The Searle Company Limited DML: 000647,208.6,"23 Jul, 2026",90323,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED089,Tefno Injection,Ceftriaxone,Ceftriaxone,250mg,Injection,1's,The Searle Company Limited DML: 000647,208.6,"23 Jul, 2026",62440,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED090,Tefno Injection,Ceftriaxone,Ceftriaxone,250mg,Injection,1's,The Searle Company Limited DML: 000647,208.6,"23 Jul, 2026",90323,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED091,Tefno Injection,Ceftriaxone,Ceftriaxone,250mg,Injection,1's,The Searle Company Limited DML: 000647,208.6,"23 Jul, 2026",62440,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED092,Uneek Injection Ceftriaxone Sodium,Ceftriaxone,Ceftriaxone,250mg,Injection,1,NAVEGAL LABORATORIES DML: 000591,186.51,"30 Jul, 2026",45442,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
MED093,Titan Inj. IM IV Ceftriaxone,Ceftriaxone,Ceftriaxone,250mg,Injection,1's,Macter International Limited DML: 000141,185.88,"23 Jul, 2026",21741,https://e.dra.gov.pk/public/price,2026-09-12,VERIFIED,Antibiotic
