search_term,product_name,registration_number,manufacturer,category,pack_size,price,price_text,effective_from,scraped_at,source
Metronidazole,Metronidazole Tablet 400mg Each tablet contains:Metronidazole 400mg,081274,"Popular Chemical Works Pvt Ltd., DML: 000076",Essential Drugs,100's,378.86,Rs 378.86,"25 Aug, 2026",2026-09-12 02:27:58,https://e.dra.gov.pk/public/price
Metronidazole,Metrozine 200 mg tablet (Metronidazole ) 200mg Each film-coated tablet contains metronidazole 200mg,010932,The Searle Company Limited DML: 000647,Low Price Drugs,100’s,267.4,Rs 267.40,"23 Jul, 2026",2026-09-12 02:27:58,https://e.dra.gov.pk/public/price
Metronidazole,Metrozine 400 mg tablet (Metronidazole ) 400mg Each film-coated tablet contains metronidazole 400mg,010931,The Searle Company Limited DML: 000647,Essential Drugs,100’s,377.52,Rs 377.52,"23 Jul, 2026",2026-09-12 02:27:58,https://e.dra.gov.pk/public/price
Paracetamol,Monadol 160mg/5ml Suspension (Paracetamol),121583,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,Essential Drugs,120ml,155.25,Rs 155.25,"25 Aug, 2026",2026-09-12 02:28:04,https://e.dra.gov.pk/public/price
Paracetamol,Monadol Tablet (Paracetamol),121582,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,Essential Drugs,200's,620.51,Rs 620.51,"25 Aug, 2026",2026-09-12 02:28:04,https://e.dra.gov.pk/public/price
Paracetamol,Nuberol-P Forte Suspension (Paracetamol) 250mg /5ml Each 5ml contains Paracetamol 250mg,093672,The Searle Company Limited DML: 000647,Essential Drugs,100ml,158.28,Rs 158.28,"23 Jul, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Nuberol-P Forte Suspension (Paracetamol) 250mg /5ml Each 5ml contains Paracetamol 250mg,093672,The Searle Company Limited DML: 000647,Essential Drugs,120ml,186.13,Rs 186.13,"23 Jul, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Nuberol-P Forte Suspension (Paracetamol) 250mg /5ml Each 5ml contains Paracetamol 250mg,093672,The Searle Company Limited DML: 000647,Essential Drugs,450ml,683.75,Rs 683.75,"23 Jul, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Nuberol-P Forte Suspension (Paracetamol) 250mg /5ml Each 5ml contains Paracetamol 250mg,093672,The Searle Company Limited DML: 000647,Essential Drugs,60ml,94.97,Rs 94.97,"23 Jul, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Nuberol-P Forte Suspension (Paracetamol) 250mg /5ml Each 5ml contains Paracetamol 250mg,093672,The Searle Company Limited DML: 000647,Essential Drugs,90ml,142.45,Rs 142.45,"23 Jul, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Nuberol-P Suspension (Paracetamol) 120mg/5ml Each 5ml contains Paracetamol 120mg,093671,The Searle Company Limited DML: 000647,Essential Drugs,100ml,110.02,Rs 110.02,"23 Jul, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Nuberol-P Suspension (Paracetamol) 120mg/5ml Each 5ml contains Paracetamol 120mg,093671,The Searle Company Limited DML: 000647,Essential Drugs,120ml,129.38,Rs 129.38,"23 Jul, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Nuberol-P Suspension (Paracetamol) 120mg/5ml Each 5ml contains Paracetamol 120mg,093671,The Searle Company Limited DML: 000647,Essential Drugs,450ml,475.29,Rs 475.29,"23 Jul, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Nuberol-P Suspension (Paracetamol) 120mg/5ml Each 5ml contains Paracetamol 120mg,093671,The Searle Company Limited DML: 000647,Essential Drugs,60ml,66.01,Rs 66.01,"23 Jul, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Nuberol-P Suspension (Paracetamol) 120mg/5ml Each 5ml contains Paracetamol 120mg,093671,The Searle Company Limited DML: 000647,Essential Drugs,90ml,99.02,Rs 99.02,"23 Jul, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,PARACETAMOL Paracetamol 500mg,006280,Pharmedic Laboratories (Pvt.) Ltd Lahore DML: 000228,Essential Drugs,200’s,742.12,Rs 742.12,"19 Aug, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Paracetamol 120Susp(As per SRO 229) Paracetamol 120 mg,029575,Wilson's Pharmaceuticals DML: 000239,Essential Drugs,60ml,60.99,Rs 60.99,"01 Jul, 2024",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Paracetamol 250 Susp(As per SRO 229) Paracetamol 250 mg,029576,Wilson's Pharmaceuticals DML: 000239,Essential Drugs,60ml,87.74,Rs 87.74,"01 Jul, 2024",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Paracetamol 500mg Each tablet contain: Paracetamol 500mg,002278,P.D.H Pharmaceuticals (Pvt) Ltd DML: 000459,Essential Drugs,20 x 10's,762.93,Rs 762.93,"27 Jul, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,PARACETAMOL 500mg TABLET Each Tablet Contains:-Paracetamol……..…500 mg,008731,MS SIZA INTERNATIONAL PVT LTD. DML: 000259,Essential Drugs,"1,s",3.53,Rs 3.53,"27 Jul, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Paracetamol 500mg Tablets Paracetamol 500mg,029574,Wilson's Pharmaceuticals DML: 000239,Essential Drugs,200's,651.37,Rs 651.37,"01 Jul, 2024",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Paracetamol Suspension Paracetamol 120mg/5ml,032400,Werrick Pharmaceuticals DML: 000340,Essential Drugs,60ml,66.01,Rs 66.01,"17 Aug, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Paracetamol,Paracetamol Suspension Paracetamol 250mg/5ml,029559,Werrick Pharmaceuticals DML: 000340,Essential Drugs,60ml,94.97,Rs 94.97,"17 Aug, 2026",2026-09-12 02:28:05,https://e.dra.gov.pk/public/price
Ibuprofen,IBUPROFEN 200mg TABLET Each tablet contains:-Ibuprofen ………………………….… 200 mg,008726,MS SIZA INTERNATIONAL PVT LTD. DML: 000259,Essential Drugs,"30,s",48.53,Rs 48.53,"27 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
Ibuprofen,IBUPROFEN 200mg TABLET Each tablet contains:-Ibuprofen ………………………….… 200 mg,008726,MS SIZA INTERNATIONAL PVT LTD. DML: 000259,Essential Drugs,"50*10,s",1077.79,"Rs 1,077.79","27 Jul, 2026",2026-09-12 02:28:13,https://e.dra.gov.pk/public/price
