medicine_id,brand_name,generic_name,active_ingredient,strength,dosage_form,pack_size,manufacturer,price,price_effective_date,registration_number,drap_source_url,last_verified,data_status,medicine_category
MED037,Clarithromycin Semos Dry,Clarithromycin,Clarithromycin,125mg/5ml,Suspension,60ml,Semos Pharmaceuticals PVT LTD DML: 000335,345.22,"05 Sep, 2025",104187,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED038,Claraze,Clarithromycin,Clarithromycin,250mg,Tablet,10's,Sante (Private) Limited DML: 000702,526.21,"27 Jul, 2026",73446,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED039,CLARITHROMYCIN,Clarithromycin,Clarithromycin,250mg,Tablet,10's,Adamjee Pharmaceuticals (Pvt) Ltd DML: 000236,488.71,"20 Aug, 2026",45151,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED040,Clarithromycin Semos,Clarithromycin,Clarithromycin,250mg,Tablet,10's,Semos Pharmaceuticals PVT LTD DML: 000335,371.54,"05 Sep, 2025",104185,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED041,Clariza,Clarithromycin,Clarithromycin,250mg,Tablet,10’s,The Searle Company Limited DML: 000647,506.06,"23 Jul, 2026",54513,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED042,Zeclar,Clarithromycin,Clarithromycin,250mg,Tablet,10's,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,511.85,"20 Aug, 2026",55694,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED043,Zeclar,Clarithromycin,Clarithromycin,250mg,Suspension,60ml,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,729.43,"20 Aug, 2026",92811,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED044,Clarithromycin Semos Dry,Clarithromycin,Clarithromycin,250mg/5ml,Suspension,60ml,Semos Pharmaceuticals PVT LTD DML: 000335,569.7,"05 Sep, 2025",104188,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED045,Claraze,Clarithromycin,Clarithromycin,500mg,Tablet,10's,Sante (Private) Limited DML: 000702,919.08,"27 Jul, 2026",73447,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED046,CLARITHROMYCIN,Clarithromycin,Clarithromycin,500mg,Tablet,10's,Adamjee Pharmaceuticals (Pvt) Ltd DML: 000236,906.14,"20 Aug, 2026",45152,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED047,Clarithromycin Semos,Clarithromycin,Clarithromycin,500mg,Tablet,10's,Semos Pharmaceuticals PVT LTD DML: 000335,619.24,"05 Sep, 2025",104186,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED048,Clariza,Clarithromycin,Clarithromycin,500mg,Tablet,10’s,The Searle Company Limited DML: 000647,826.13,"23 Jul, 2026",54514,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED049,Clariza XL,Clarithromycin,Clarithromycin,500mg,Tablet,1's,The Searle Company Limited DML: 000647,92.95,"23 Jul, 2026",69062,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED050,Clariza XL,Clarithromycin,Clarithromycin,500mg,Tablet,5’s,The Searle Company Limited DML: 000647,427.52,"23 Jul, 2026",69062,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED051,Zeclar,Clarithromycin,Clarithromycin,500mg,Injection,Vial,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,170.62,"20 Aug, 2026",55181,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED052,Zeclar ER,Clarithromycin,Clarithromycin,500mg,Tablet,5's,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,401.86,"20 Aug, 2026",92816,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED053,Ibuprofen Oral,Ibuprofen,Ibuprofen,100mg,Suspension,450ml,Paradise Pharma DML: 000742,480.62,"27 Jul, 2026",71547,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED054,Ibuprofen Oral,Ibuprofen,Ibuprofen,100mg,Suspension,90ml,Paradise Pharma DML: 000742,98.44,"27 Jul, 2026",71547,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED055,Ibuprofen Oral,Ibuprofen,Ibuprofen,100mg,Suspension,60ml,Paradise Pharma DML: 000742,63.7,"27 Jul, 2026",71547,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED056,Ibuprofen,Ibuprofen,Ibuprofen,100mg/5ml,Suspension,90ml,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,82.4,"25 Aug, 2026",77270,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED057,Ibuprofen,Ibuprofen,Ibuprofen,100mg/5ml,Suspension,120ml,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,135.5,"25 Aug, 2026",77270,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED058,Ibuprofen,Ibuprofen,Ibuprofen,100mg/5ml,Suspension,450ml,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,351.52,"25 Aug, 2026",77270,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED059,IBUPROFEN,Ibuprofen,Ibuprofen,200mg,Tablet,"30,s",MS SIZA INTERNATIONAL PVT LTD. DML: 000259,48.53,"27 Jul, 2026",8726,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED060,IBUPROFEN,Ibuprofen,Ibuprofen,200mg,Tablet,"50*10,s",MS SIZA INTERNATIONAL PVT LTD. DML: 000259,1077.79,"27 Jul, 2026",8726,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED061,IBUPROFEN,Ibuprofen,Ibuprofen,200mg,Tablet,50x10's,Geofman Pharmaceuticals DML: 000090,1032.72,"23 Jul, 2026",9309,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED062,Ibuprofen,Ibuprofen,Ibuprofen,200mg,Tablet,30's,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000040,122.3,"27 Jul, 2026",7693,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED063,Ibuprofen,Ibuprofen,Ibuprofen,200mg,Tablet,50 x 10's,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000040,2025.54,"27 Jul, 2026",7693,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED064,Ibuprofen,Ibuprofen,Ibuprofen,200mg,Tablet,500's,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000040,1149.81,"27 Jul, 2026",7693,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED065,IBUPROFEN,Ibuprofen,Ibuprofen,400mg,Tablet,"25*10,s",MS SIZA INTERNATIONAL PVT LTD. DML: 000259,903.63,"27 Jul, 2026",8727,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED066,IBUPROFEN,Ibuprofen,Ibuprofen,400mg,Tablet,25 x 10's,Geofman Pharmaceuticals DML: 000090,929.55,"23 Jul, 2026",9308,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED067,Ibuprofen,Ibuprofen,Ibuprofen,400mg,Tablet,25 x 10's,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000040,913.13,"27 Jul, 2026",7694,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED068,Ibuprofen,Ibuprofen,Ibuprofen,400mg,Tablet,25's,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000040,55.76,"27 Jul, 2026",7694,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED069,Ibuprofen,Ibuprofen,Ibuprofen,400mg,Tablet,250's,Zafa Pharmaceutical Laboratories (Pvt) Ltd. DML: 000040,913.13,"27 Jul, 2026",7694,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED070,Ibuprofen,Ibuprofen,Ibuprofen,400mg/4ml,Injection,4ml x 10's,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,1982.68,"25 Aug, 2026",119680,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED071,Ibuprofen,Ibuprofen,Ibuprofen,800mg/8ml,Injection,1's,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,417.19,"25 Aug, 2026",121577,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED072,Ibuprofen,Ibuprofen,Ibuprofen,800mg/8ml,Injection,10's,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,4004.62,"25 Aug, 2026",121577,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED073,Metronidazole Liquid,Metronidazole,Metronidazole,200mg,Suspension,60ml,Caliph Pharmaceuticals (Pvt) Ltd. DML: 000748,56.31,"24 Jun, 2026",79356,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED074,Metronidazole Liquid,Metronidazole,Metronidazole,200mg,Suspension,90ml,Caliph Pharmaceuticals (Pvt) Ltd. DML: 000748,84.46,"24 Jun, 2026",79356,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED075,Metronidazole,Metronidazole,Metronidazole,200mg,Tablet,20x10's,Caliph Pharmaceuticals (Pvt) Ltd. DML: 000748,351.93,"24 Jun, 2026",100957,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED076,Metronidazole,Metronidazole,Metronidazole,200mg,Tablet,100's,"Popular Chemical Works Pvt Ltd., DML: 000076",267.4,"25 Aug, 2026",8909,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED077,Metrozine,Metronidazole,Metronidazole,200mg,Tablet,100’s,The Searle Company Limited DML: 000647,267.4,"23 Jul, 2026",10932,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED078,Metronidazole,Metronidazole,Metronidazole,400mg,Tablet,10x10's,Caliph Pharmaceuticals (Pvt) Ltd. DML: 000748,263.95,"24 Jun, 2026",100958,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED079,Metronidazole,Metronidazole,Metronidazole,400mg,Tablet,100's,"Popular Chemical Works Pvt Ltd., DML: 000076",378.86,"25 Aug, 2026",81274,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED080,Metrozine,Metronidazole,Metronidazole,400mg,Tablet,100’s,The Searle Company Limited DML: 000647,377.52,"23 Jul, 2026",10931,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Antibiotic
MED081,Omeprazole,Omeprazole,Omeprazole,20mg,Capsule,10 x 10's,Batala Pharmaceuticals DML: 000477,1412.08,"01 Jul, 2025",108320,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED082,Omeprazole,Omeprazole,Omeprazole,20mg,Capsule,14's,Batala Pharmaceuticals DML: 000477,205.93,"01 Jul, 2025",108320,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED083,Romeprazole,Omeprazole,Omeprazole,20mg,Capsule,2x7s,Arsons Pharmaceutical Industries (Pvt) Ltd DML: 000514,250.8,"01 Jul, 2025",71415,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED084,Romeprazole,Omeprazole,Omeprazole,20mg,Capsule,10x10s,Arsons Pharmaceutical Industries (Pvt) Ltd DML: 000514,1647.61,"01 Jul, 2025",71415,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED085,Romeprazole,Omeprazole,Omeprazole,20mg,Capsule,1x10s,Arsons Pharmaceutical Industries (Pvt) Ltd DML: 000514,179.39,"01 Jul, 2025",71415,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED086,Vify,Omeprazole,Omeprazole,20mg,Injection,1's vial,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,373.24,"20 Aug, 2026",61432,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED087,Vify,Omeprazole,Omeprazole,20mg,Injection,25's,S.J & G. Fazul Ellahie (pvt) limited. DML: 000083,8957.61,"20 Aug, 2026",61432,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED088,Mep-Med,Omeprazole,Omeprazole,40mg,Capsule,10,Mediate Pharmaceutical Pvt Ltd DML: 000167,314.98,"27 Jan, 2026",53273,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED089,Mep-Med,Omeprazole,Omeprazole,40mg,Capsule,14,Mediate Pharmaceutical Pvt Ltd DML: 000167,439.92,"27 Jan, 2026",53273,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED090,Omeprazole,Omeprazole,Omeprazole,40mg,Capsule,14's,Batala Pharmaceuticals DML: 000477,357.52,"01 Jul, 2025",108319,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED091,Monadol,Paracetamol,Paracetamol,,Tablet,200's,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,620.51,"25 Aug, 2026",121582,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED092,Paracetamol 120Susp(As per SRO 229) Paracetamol,Paracetamol,Paracetamol,120mg,Other,60ml,Wilson's Pharmaceuticals DML: 000239,60.99,"01 Jul, 2024",29575,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED093,Nuberol-P,Paracetamol,Paracetamol,120mg/5ml,Suspension,100ml,The Searle Company Limited DML: 000647,110.02,"23 Jul, 2026",93671,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED094,Nuberol-P,Paracetamol,Paracetamol,120mg/5ml,Suspension,120ml,The Searle Company Limited DML: 000647,129.38,"23 Jul, 2026",93671,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED095,Nuberol-P,Paracetamol,Paracetamol,120mg/5ml,Suspension,450ml,The Searle Company Limited DML: 000647,475.29,"23 Jul, 2026",93671,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED096,Nuberol-P,Paracetamol,Paracetamol,120mg/5ml,Suspension,60ml,The Searle Company Limited DML: 000647,66.01,"23 Jul, 2026",93671,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED097,Nuberol-P,Paracetamol,Paracetamol,120mg/5ml,Suspension,90ml,The Searle Company Limited DML: 000647,99.02,"23 Jul, 2026",93671,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED098,Paracetamol,Paracetamol,Paracetamol,120mg/5ml,Suspension,60ml,Werrick Pharmaceuticals DML: 000340,66.01,"17 Aug, 2026",32400,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED099,Monadol,Paracetamol,Paracetamol,160mg/5ml,Suspension,120ml,Wimits Pharmaceuticals Pvt. Ltd DML: 000789,155.25,"25 Aug, 2026",121583,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED100,Nuberol-P Forte,Paracetamol,Paracetamol,250mg,Suspension,100ml,The Searle Company Limited DML: 000647,158.28,"23 Jul, 2026",93672,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED101,Nuberol-P Forte,Paracetamol,Paracetamol,250mg,Suspension,120ml,The Searle Company Limited DML: 000647,186.13,"23 Jul, 2026",93672,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED102,Nuberol-P Forte,Paracetamol,Paracetamol,250mg,Suspension,450ml,The Searle Company Limited DML: 000647,683.75,"23 Jul, 2026",93672,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED103,Nuberol-P Forte,Paracetamol,Paracetamol,250mg,Suspension,60ml,The Searle Company Limited DML: 000647,94.97,"23 Jul, 2026",93672,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED104,Nuberol-P Forte,Paracetamol,Paracetamol,250mg,Suspension,90ml,The Searle Company Limited DML: 000647,142.45,"23 Jul, 2026",93672,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED105,Paracetamol 250 Susp(As per SRO 229) Paracetamol,Paracetamol,Paracetamol,250mg,Other,60ml,Wilson's Pharmaceuticals DML: 000239,87.74,"01 Jul, 2024",29576,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED106,Paracetamol,Paracetamol,Paracetamol,250mg/5ml,Suspension,60ml,Werrick Pharmaceuticals DML: 000340,94.97,"17 Aug, 2026",29559,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED107,PARACETAMOL Paracetamol,Paracetamol,Paracetamol,500mg,Other,200’s,Pharmedic Laboratories (Pvt.) Ltd Lahore DML: 000228,742.12,"19 Aug, 2026",6280,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED108,Paracetamol,Paracetamol,Paracetamol,500mg,Tablet,20 x 10's,P.D.H Pharmaceuticals (Pvt) Ltd DML: 000459,762.93,"27 Jul, 2026",2278,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED109,PARACETAMOL,Paracetamol,Paracetamol,500mg,Tablet,"1,s",MS SIZA INTERNATIONAL PVT LTD. DML: 000259,3.53,"27 Jul, 2026",8731,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
MED110,Paracetamol,Paracetamol,Paracetamol,500mg,Tablet,200's,Wilson's Pharmaceuticals DML: 000239,651.37,"01 Jul, 2024",29574,https://e.dra.gov.pk/public/price,2026-09-11,VERIFIED,Non-antibiotic
